,author,content,country,date_time,id,language,latitude,longitude,number_of_likes,number_of_shares
43506,ArianaGrande,happy Cat Valentine's Day (I don't think I'll ever not say that) ♡,,14/02/2016 20:19,6.98965e+17,en,,,43129,25459
45013,ArianaGrande,yas captain eddie  https://t.co/u29VcIITSN,,21/06/2015 20:37,6.12721e+17,en,,,13986,6663
43471,ArianaGrande,that face....... he will never be dethroned.  https://t.co/ZS5QJ6lZ7w,,20/02/2016 20:10,7.01137e+17,en,,,17808,6342
44742,ArianaGrande,@alexaluria I miss you........... so much,,24/07/2015 07:00,6.24474e+17,en,,,10475,5577
44061,ArianaGrande,"excited, tired &amp; loving you https://t.co/ffWqQRQaIY",,20/10/2015 09:30,6.56402e+17,en,,,19312,9795
7065,BarackObama,"Senate leaders need to work for the good of the American people, not seek out political points. https://t.co/Tdx3xk6gYi",,23/09/2016 20:05,7.79411e+17,en,,,6805,2117
8119,BarackObama,You and a guest could fly to D.C. and meet the President. Enter now for your chance: http://t.co/k3VB2JxQAg,,30/09/2015 21:19,6.49333e+17,en,,,1017,318
7727,BarackObama,Take a look at President Obama's latest common-sense step to help fight climate change: https://t.co/rQ0dK9U4Em #ActOnClimate,,25/01/2016 20:52,6.91725e+17,en,,,1601,652
9573,BarackObama,"President Obama: While affordable health care might still be a threat to freedom on Fox News, it’s working pretty well in the real world.",,02/10/2014 19:07,5.17753e+17,en,,,3122,3026
8139,BarackObama,You could win a chance to meet President Obama. (Let that sink in.) Enter now: http://t.co/KSgSX9Q2oZ http://t.co/jmYatM9iHS,,24/09/2015 22:02,6.47169e+17,en,,,1773,586
32754,Cristiano,Acabei de fazer as minhas previsões para o Team CR vs. Granada no #VivaRonaldo. E tu? @VivaRonaldo,,24/01/2014 11:26,4.26677e+17,pt,,,2065,1724
33648,Cristiano,Headed to San Diego for tonight's @WFChallenge match. Get your tickets here http://say.ly/DOovOg http://say.ly/pgHvOZ,,20/07/2011 18:47,9.37538e+16,en,,,133,301
32378,Cristiano,"Another exciting match
for Real Madrid with a win against Elche. Let’s go team!        http://t.co/v009wdRXzZ http://t.co/XzhlpCDZz6",,24/09/2014 10:12,5.14719e+17,en,,,9133,6053
33585,Cristiano,And the other 5 winners of #CR7FLASHTRIAL - @_RooMaartins @Hueberpower @Cabita10 @Anton7Villaran @Tiago_LSO. See you guys in Madrid!!,,15/11/2011 15:26,1.36465e+17,en,,,105,182
33438,Cristiano,#Portugal vs #Czech Republic http://t.co/EPFoKUss,,22/06/2012 08:33,2.16086e+17,fr,,,914,1763
28673,KimKardashian,Happy Birthday @MolestMeKardash You have always been such a loyal fan! I have a pair of Yeezy 350 boosts for you!!! DM me your address! Xoxo,,14/07/2015 16:25,6.20993e+17,en,,,10281,2087
27418,KimKardashian,It's ThursYE!!!!!!!!!!!!!,,11/02/2016 17:33,6.97836e+17,en,,,20628,14130
28124,KimKardashian,I love you guys so much!!! Thank you for all of the birthday love! It means so much to me!!!! 🎂🎈🎉,,21/10/2015 19:50,6.56921e+17,en,,,18228,4683
28429,KimKardashian,Purple princess day! Now it's a pink princess night!  https://t.co/Q4gdXcBOms,,10/09/2015 21:54,6.42094e+17,en,,,2686,560
27074,KimKardashian,002 https://t.co/EiXiHiGMpW,,24/04/2016 02:03,7.24056e+17,und,,,6536,1581
19781,TheEllenShow,The Grammys are Monday. I remember when this whippersnapper was on my show for the 1st time. #GrammyTB #Throwback https://t.co/4q9jI4w4Id,,10/02/2016 22:59,6.97556e+17,en,,,4976,573
19213,TheEllenShow,"Whatever you do today, I hope you make time to tell someone you love them. And to eat a cake wearing a tiny hat. https://t.co/tostt5CQOs",,26/05/2016 02:03,7.35652e+17,en,,,29593,8710
20634,TheEllenShow,I'm so excited to be on @HowardStern for the very first time tomorrow morning at 9am! I hope he doesn't ask me to strip.,,07/09/2015 21:18,6.40998e+17,en,,,4634,647
19933,TheEllenShow,".@ZacEfron told me about his girlfriend. Apologies to all the ladies, and a lot of the men. https://t.co/cFE31Lv1D3",,20/01/2016 20:20,6.89905e+17,en,,,4027,706
20679,TheEllenShow,Any Ellen Shop purchase means you could win tix to my show. Buy a mug &amp; I might see your mug in my audience. http://t.co/G6j3wDPe4w,,26/08/2015 22:57,6.36674e+17,en,,,1732,289
22016,Twitter,"@patog7 Hey, Pato! You'll be able to attach up to four photos or one GIF, video, poll, or Quote Tweet without losing any characters.",,24/05/2016 16:59,7.35153e+17,en,,,34,16
21419,Twitter,"@DoctorChristian We may not be a doctor, but we’re always here for you. 😊",,21/12/2016 02:15,8.11395e+17,en,,,54,20
21797,Twitter,Rolling out today – we're bringing night mode to iOS! 🌙 https://t.co/XxNZHQdth9 https://t.co/WLwKi4H0Oe,,22/08/2016 16:25,7.6776e+17,en,,,4324,3439
23125,Twitter,"Starting today, we're rolling out an email notification that lets you know if someone you follow retweets or favorites one of your Tweets.",,23/05/2011 21:28,7.27758e+16,en,,,408,2867
21512,Twitter,"@TheEllenShow Just keep swimming. Just keep juggling. Just keep Tweeting. ❤️ #ThisHappened
https://t.co/kHJXgoMYQv",,06/12/2016 21:30,8.0625e+17,en,,,245,46
12774,YouTube,It’s Friday the 13th and we got your soundtrack right here → https://t.co/JxW986Ws6B 😱 😱 😱 https://t.co/VFUchHb3qq,,13/01/2017 18:54,8.19981e+17,en,,,1203,255
13046,YouTube,@sortedfood Oh we’re so ready for this.,,12/12/2016 22:04,8.08432e+17,en,,,17,2
13128,YouTube,What’s slower than slow-mo? Mannequins. https://t.co/EDdnrjD0gu #YouTubeRewind #MannequinChallenge https://t.co/FXrqVAOuTF,,07/12/2016 19:18,8.06579e+17,en,,,2050,325
12959,YouTube,"🏂🏂🏂🏂🏂🏂🏂🏂🏂🏂🏂
❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️

@CaseyNeistat sleighs the holidays on a drone-powered snowboard →… https://t.co/iALn708I1C",,20/12/2016 16:43,8.11251e+17,en,,,3649,837
14191,YouTube,Raise your hand if @troyesivan drives you #WILD 🙋🙋🙋 https://t.co/rOMOZZ9sWr https://t.co/lrDlIIVOS6,,26/07/2016 20:00,7.58029e+17,en,,,1724,405
29305,britneyspears,#MakeMe is available on @GooglePlay ▶ Get your copy now!! https://t.co/wNxdu5iVTu,,16/07/2016 15:30,7.54337e+17,en,,,3990,1990
29333,britneyspears,My sister just released a new song &amp; I absolutely LOVE it! Everyone go listen to Sleepover 💙 https://t.co/HdFpo7RCMA https://t.co/TxdSKNPVkc,,24/06/2016 21:47,7.4646e+17,en,,,8780,2204
31318,britneyspears,@rijaldaSpearss Awe thanks!!,,04/06/2013 21:04,3.42024e+17,en,,,125,160
31109,britneyspears,"Hot day on set... ;) A little dirty, little flirty, danced my ASS off. Stoked for tomorrow!",,08/09/2013 05:34,3.76579e+17,en,,,3743,4651
30884,britneyspears,With the lovely @AlisonHammond2 after filming a really fun interview for @itvthismorning http://t.co/d4DnvdZXIm,,15/10/2013 17:56,3.90174e+17,en,,,2567,1764
37300,cnnbrk,Federal judge rules Dylann Roof is mentally competent to represent himself at the sentencing phase of his trial.… https://t.co/iIhm3V3bjv,,02/01/2017 23:43,8.16067e+17,en,,,664,337
37296,cnnbrk,US Customs computers are back online after a 4-hour outage caused huge delays at airports across the country.… https://t.co/RkqSBvDkCT,,03/01/2017 03:56,8.16131e+17,en,,,376,379
37650,cnnbrk,"Donald Trump selects Georgia Rep. Tom Price to lead Department of Health and Human Services, sources tell CNN.… https://t.co/y3H9bwFXgN",,29/11/2016 02:55,8.03432e+17,en,,,397,256
38140,cnnbrk,"Two Brussels police officers stabbed in suspected terror attack, Federal Prosecutor's Office spokesman tells CNN. https://t.co/EtlGxxEQh9",,05/10/2016 14:16,7.83672e+17,en,,,290,405
38816,cnnbrk,"Maryland AG appeals new trial granted to Adnan Syed, who was subject of “Serial” podcast. https://t.co/5767jbgkUD https://t.co/kDPFxcwR59",,02/08/2016 06:34,7.60363e+17,en,,,552,359
51383,ddlovato,.@xtinaanumber1f #AskDemi https://t.co/Wk4ThqbTfm,,09/11/2015 11:57,6.63687e+17,und,,,7380,4462
51248,ddlovato,Sneaky family photo #NMM 😝🤗😍💗 Did you get someone @devonnebydemi this Christmas?! https://t.co/LdAbm0nsSu https://t.co/sBtkDuaWCa,,14/12/2015 23:42,6.76548e+17,en,,,24893,12485
51814,ddlovato,AHHH VMA nomination?!?! Tweet and Insta using #CoolForTheSummerVMA!!!! 😜💗🍒🌴😎 @mtv http://t.co/53d4tbfozV http://t.co/PjsCXntgjK,,18/08/2015 23:53,6.33789e+17,en,,,27084,25232
51164,ddlovato,@ultratriIogy because I can never seem to wrap my brain around the fact that people actually do that stuff,,07/01/2016 01:59,6.84917e+17,en,,,3612,2053
52314,ddlovato,@iambeckyg you are SO sweet!!! Thank you so much for coming out and supporting the cause.. I wanna hear YOU sing next time!!! 😝💗,,20/03/2015 20:56,5.79024e+17,en,,,9759,7005
48879,instagram,Get your head in the Games. One month until the #Olympics! #RoadToRio https://t.co/S0gB2SYhQP,,05/07/2016 21:35,7.50443e+17,en,,,815,173
49265,instagram,Over 100 paw prints + 10 tries = a terrier-powered remix of our new look https://t.co/kxUqibf84n,,15/05/2016 18:15,7.31911e+17,en,,,962,152
48056,instagram,"#DailyFluff
https://t.co/jhCruYD30C 🐾 https://t.co/1vyCrQtzzJ",,10/11/2016 14:00,7.96714e+17,und,,,1096,240
50042,instagram,“I tend to find little details of big importance.” —photojournalist @LdAki,,20/01/2016 16:22,6.89846e+17,en,,,1790,437
49937,instagram,"#IGHearts are inseparable
https://t.co/haBDvGV9a6",,15/02/2016 02:14,6.99054e+17,en,,,1277,254
41435,jimmyfallon,The Roots are flying to Vegas right now for a show at the new Brooklyn Bowl. Hangover 4??? #CantStopWontStop,,14/03/2014 22:26,4.446e+17,en,,,1608,317
39880,jimmyfallon,"Tonight: Michael Fassbender, @brielarson, @SpeakerBoehner, music from @CeeLoGreen and your #WorstCollegeParty tweets!#FallonTonight",,08/10/2015 14:25,6.52128e+17,en,,,1096,252
41343,jimmyfallon,So excited to have @AlanCumming performing a song from Cabaret tonight! He is amazing. #Broadway #NewYorkCity #FallonTonight,,10/04/2014 19:57,4.54348e+17,en,,,978,228
39987,jimmyfallon,"Tonight: Playing Box of Lies with @heidiklum, plus David Oyelowo stops by and @carlyraejepsen performs! #FallonTonight",,19/08/2015 15:03,6.34018e+17,en,,,1365,357
39300,jimmyfallon,Wheel of Musical Impressions with @celinedion!! https://t.co/roi8OHCFkj #FallonTonight,,22/07/2016 11:58,7.56458e+17,en,,,1854,534
23965,jtimberlake,"Jokes, you guys... Jokes. 

#chill",,31/08/2015 03:32,6.38193e+17,en,,,14391,4899
23629,jtimberlake,"I, @AnnaKendrick47, approve this message. #DreamWorksTrolls #TrueColors @Trolls  https://t.co/StNre6w68A",,14/09/2016 17:01,7.76104e+17,en,,,3637,906
25171,jtimberlake,Boat ride to the O2!! London Fog... #Brits2013 http://t.co/G1dJSUI2,,20/02/2013 13:05,3.04215e+17,en,,,825,878
24168,jtimberlake,It's #GivingTuesday and I'm proud to support @giveStars! Join the giving spirit ➨ http://t.co/phEU5MtR82,,02/12/2014 23:07,5.39919e+17,en,,,1426,588
23587,jtimberlake,"Kid-friendly, adult-approved. #DreamworksTrolls. #Premiere. @AnnaKendrick47 https://t.co/mcHMxECcjS",,24/10/2016 01:54,7.90371e+17,en,,,8200,1289
3510,justinbieber,Time for a little R&amp;R,,19/12/2015 03:51,6.7806e+17,en,,,82469,48538
4489,justinbieber,Now? http://t.co/uhgf5vfvZG,,11/08/2015 05:15,6.30971e+17,und,,,45376,38446
4719,justinbieber,@MichAnnTan lol,,10/06/2015 06:33,6.08522e+17,und,,,25130,17801
4850,justinbieber,What should I do tonight? Hmmmm,,08/04/2015 23:42,5.85951e+17,en,,,83975,65559
3709,justinbieber,#PurposeTheMovement #Sorry https://t.co/4Djuxtn5o0,,14/11/2015 15:58,6.65559e+17,und,,,51506,39126
208,katyperry,"You hear it as ""excellent"" I hear it as ""egg salad with lint"" 🤔",,05/10/2016 23:36,7.83813e+17,en,,,14456,4401
2211,katyperry,"HAPPY #PRISM MONDAY TO: Belgium, China, Czech Republic, Denmark, France, Greece, Hungary, India, Indonesia, Korea, Malaysia, Norway…",,21/10/2013 13:24,3.9228e+17,en,,,3891,6541
2099,katyperry,Meow out to all the kittens and all the voting they did with their precious paws to win me Best Female last night @MTVEMA 😻😽😻😽 ILY ILY!,,11/11/2013 14:19,3.99904e+17,en,,,11284,8617
365,katyperry,@katyswetdream like he deserves a full scholarship somewhere,,10/09/2016 21:10,7.74717e+17,en,,,3627,895
447,katyperry,@_CoolKatyCat I was waiting for this edit,,29/07/2016 09:47,7.58962e+17,en,,,2741,935
16411,ladygaga,Music music music and more music 🤘🏽can't live without out it.,,21/05/2016 14:54,7.34035e+17,en,,,25600,14989
16047,ladygaga,HERE WE GO! My commercial for @AppleMusic !!! #AYO ✌🏽️✌🏿️✌🏼️ https://t.co/1RT352xLjX,,22/10/2016 20:45,7.89931e+17,en,,,14203,6803
17900,ladygaga,"Last night, when I sang the lyric ""its you and me baby for life,"" hundreds at once held up signs that said ""for life.""",,01/09/2014 00:19,5.06235e+17,en,,,6485,3819
15782,ladygaga,@CTiainen I THINK I SPOT A GRIGIO GIRL,,24/12/2016 05:56,8.12538e+17,en,,,2252,692
15993,ladygaga,@Gagas_Illusion i love this!! how can i buy it?,,30/10/2016 17:16,7.92777e+17,en,,,3235,1057
11010,rihanna,@032C @inezandvinoodh melzy917 #ghetto #goth #high #fashion http://t.co/30wIFxlbhi,,30/10/2013 22:03,3.95672e+17,und,,,653,545
10915,rihanna,"“@MACcosmetics: Heaux, Heaux, Heaux.” #RiRiHeartsMAC #MerryChristmas",,26/12/2013 06:50,4.16099e+17,fr,,,2325,1740
12598,rihanna,#barbados http://t.co/hgxoKtHG,,04/11/2012 20:08,2.65184e+17,und,,,1578,2818
